"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","1T237269","ARTESIAN CATTLE C0271221301","1301","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237270","ARTESIAN CATTLE CO271221302","1302","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237284","ARTESIAN CATTLE CO271221316","1316","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237274","ARTESIAN CATTLE CO271221306","1306","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237280","ARTESIAN CATTLE CO271221312","1312","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237275","ARTESIAN CATTLE C0271221307","1307","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237277","ARTESIAN CATTLE C0271221309","1309","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T237282","ARTESIAN CATTLE CO271221314","1314","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237283","ARTESIAN CATTLE C0271221315","1315","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237287","ARTESIAN CATTLE C0271221319","1319","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T237289","ARTESIAN CATTLE R057522S142","S142","-7.271","0.09","2.363","0.096","42.654","0.075","78.975","0.012","26.476","0.044","47.803","84.247"
"2024","20240808","AF251296","ARTESIAN K11","K11","-3.291","0.153","4.209","0.297","42.991","0.192","79.741","0.032","25.986","0.086","47.4815","83.607"
"2024","20240808","2T251318","ARTESIAN 2003","2003","4.164","0.144","0.432","0.101","45.027","0.073","81.518","0.013","24.638","0.052","47.1515","88.791"
"2024","20240808","2T251314","ARTESIAN 1321","1321","-0.401","0.138","1.002","0.097","41.68","0.059","76.304","0.011","23.198","0.038","44.038002","68.694"
"2024","20240808","1T251483","ARTESIAN 2168","2168","-0.463","0.103","0.384","0.081","46.94","0.059","83.453","0.01","23.529","0.042","46.999","83.066"
"2024","20240808","1T251482","ARTESIAN 2167","2167","-0.463","0.103","0.384","0.081","46.94","0.059","83.453","0.01","23.529","0.042","46.999","83.066"
"2024","20240808","1T251481","ARTESIAN 2166","2166","-0.463","0.103","0.384","0.081","46.94","0.059","83.453","0.01","23.529","0.042","46.999","83.066"
"2024","20240808","1T251479","ARTESIAN 2164","2164","-0.463","0.103","0.384","0.081","46.94","0.059","83.453","0.01","23.529","0.042","46.999","83.066"
"2024","20240808","1T251478","ARTESIAN 2163","2163","-0.463","0.103","0.384","0.081","46.94","0.059","83.453","0.01","23.529","0.042","46.999","83.066"
"2024","20240808","1T251477","ARTESIAN 2162","2162","-0.463","0.103","0.384","0.081","46.94","0.059","83.453","0.01","23.529","0.042","46.999","83.066"
"2024","20240808","1T251476","ARTESIAN 2161","2161","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T251475","ARTESIAN 2160","2160","-7.005","0.139","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T251474","ARTESIAN 2159","2159","-3.64","0.083","1.616","0.075","48.008","0.053","85.699","0.009","27.755","0.038","51.759","87.347"
"2024","20240808","1T251472","ARTESIAN 2157","2157","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T251471","ARTESIAN 2156","2156","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","AF251294","ARTESIAN K02","K02","-2.63","0.154","3.386","0.286","44.183","0.186","81.423","0.031","26.351","0.085","48.442497","90.469"
"2024","20240808","AF251300","ARTESIAN K15","K15","-2.057","0.162","2.665","0.297","25.729","0.201","56.458","0.033","21.173","0.086","34.0375","62.097"
"2024","20240808","1T251470","ARTESIAN 2155","2155","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T251466","ARTESIAN 2151","2151","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
